,ISBN,title,series,author,rating,genre,publish_company,format,number_of_pages,publish_month,publish_year,NYT_bestseller,top5,length_of_title,top_authors
392,9781481443142,Welcome to Shadowhunter Academy,1,Cassandra Clare,4.1,fantasy,Simon & Schuster,ebook,40,February,2015,1.0,1,31,0
393,9780425285176,"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",0,Lauren Graham,3.97,non-fiction,Penguin Random House,Hardcover,205,November,2016,1.0,1,88,0
394,9780743270755,Team of Rivals: The Political Genius of Abraham Lincoln,0,Doris Kearns Goodwin,4.28,history,Simon & Schuster,Paperback,916,September,2006,1.0,1,55,0
395,9781250135995,Tears We Cannot Stop: A Sermon to White America,0,Michael Eric Dyson,4.3,non-fiction,Macmillan,Hardcover,228,January,2017,1.0,1,47,0
396,9780374273538,Thank You for Being Late: An Optimist's Guide to Thriving in the Age of Accelerations,0,Thomas L. Friedman,3.9,non-fiction,Macmillan,Hardcover,496,November,2016,1.0,1,85,0
397,9780316013697,The Absolutely True Diary of a Part-Time Indian,0,Sherman Alexie,4.11,young-adult,Hachette,Paperback,230,April,2009,1.0,1,47,0
398,9780061122415,The Alchemist,0,Paulo Coelho,3.85,fiction,Harper Collins,Paperback,197,May,1993,1.0,1,13,0
399,9780062465641,American Fisherman: An Angler's History of the USA,0,Willie Robertson,4.11,non-fiction,Harper Collins,Hardcover,320,November,2016,1.0,1,50,0
400,9781626923508,"The Ancient Magus' Bride, Vol. 6",1,Kore Yamazaki,4.4,sequential-art,Seven Seas ,Paperback,180,January,2017,1.0,0,32,0
401,9780345531070,The Apartment,0,Danielle Steel,3.86,romance,Penguin Random House,Hardcover,336,May,2016,1.0,1,13,1
402,9781501165320,The Autobiography of Gucci Mane,0,Gucci Mane,4.09,non-fiction,Simon & Schuster,Hardcover,304,September,2017,1.0,1,31,0
403,9781501111679,The Bazaar of Bad Dreams,0,Stephen King,3.92,horror,Simon & Schuster,Hardcover,495,November,2015,1.0,1,24,1
404,9781481456432,The Becoming of Noah Shaw,1,Michelle Hodkin,3.68,young-adult,Simon & Schuster,Hardcover,384,November,2017,1.0,1,25,0
405,9780544750357,The Best American Comics 2016,1,Roz Chast,3.75,sequential-art,Houghton Mifflin Harcourt,Hardcover,400,October,2016,1.0,0,29,0
406,9780143122012,The Better Angels of Our Nature: Why Violence Has Declined,0,Steven Pinker,4.18,non-fiction,Penguin Random House,Paperback,806,September,2012,1.0,1,58,0
407,9781621573487,The Big Lie: Exposing the Nazi Roots of the American Left,0,Dinesh D'Souza,4.31,politics,Regnery Publishing,Hardcover,256,July,2017,1.0,0,57,0
408,9780385537605,The Billion Dollar Spy: A True Story of Cold War Espionage and Betrayal,0,David E. Hoffman,4.2,history,Penguin Random House,Hardcover,336,July,2015,1.0,1,71,0
409,9781476714844,The Blood of Emmett Till,0,Timothy B. Tyson,4.24,history,Simon & Schuster,Hardcover,291,January,2017,1.0,1,24,0
410,9780425261361,The Bone Bed,1,Patricia Cornwell,3.67,mystery,Penguin Random House,Paperback,496,September,2013,1.0,1,12,0
411,9780399185045,The Book of Joy: Lasting Happiness in a Changing World,0,Dalai Lama XIV,4.37,non-fiction,Avery ,Hardcover,354,October,2016,1.0,0,54,0
412,9781250122469,The Breakdown,0,B.A. Paris,3.9,thriller,Macmillan,Hardcover,328,July,2017,1.0,1,13,0
413,9780393635027,The Burning Girl,0,Claire Messud,3.27,fiction,W. W. NortonCompany,Hardcover,247,August,2017,1.0,0,16,0
414,9781492618553,The Cabin,0,Natasha Preston,3.6,mystery,Sourcebooks Fire,Paperback,327,September,2016,1.0,0,9,0
415,9780062571373,The Case of Beasts: Explore the Film Wizardry of Fantastic Beasts and Where to Find Them,0,Mark Salisbury,4.57,fantasy,Harper Collins,Hardcover,160,November,2016,1.0,1,88,0
416,9781492600978,The Cellar,1,Natasha Preston,3.91,young-adult,Sourcebooks Fire ,Paperback,347,March,2014,1.0,0,10,0
417,9780374120924,The Chicago Cubs: Story of a Curse,0,Rich Cohen,4.27,sports-and-games,Macmillan,Hardcover,273,October,2017,1.0,1,34,0
418,9780451475190,The Chosen,1,J.R. Ward,4.32,fantasy,Penguin Random House,Hardcover,525,April,2017,1.0,1,10,0
419,9780385351393,The Circle,0,Dave Eggers,3.43,fiction,Penguin Random House,Hardcover,493,October,2013,1.0,1,10,0
420,9781455565382,"The Daily Show: An Oral History as Told by Jon Stewart, the Correspondents, Staff and Guests",0,Chris Smith,4.14,non-fiction,Hachette,Hardcover,461,November,2016,1.0,1,92,0
421,9780062381750,The Demon Crown,1,James Rollins,4.2,thriller,Harper Collins,ebook,672,December,2017,1.0,1,15,0
422,9781501150326,The Devil's Triangle,1,Catherine Coulter,4.04,mystery,Simon & Schuster,Hardcover,495,March,2017,1.0,1,20,0
423,9781476730400,"The Disaster Artist: My Life Inside The Room, the Greatest Bad Movie Ever Made",0,Greg Sestero,4.36,non-fiction,Simon & Schuster,Paperback,288,October,2014,1.0,1,78,0
424,9780062349071,The Duchess Deal,1,Tessa Dare,4.06,romance,Harper Collins,ebook,384,August,2017,1.0,1,16,0
425,9780345521088,"The Eighty-Dollar Champion: Snowman, the Horse That Inspired a Nation",0,Elizabeth Letts,4.19,non-fiction,Penguin Random House,Hardcover,329,August,2011,1.0,1,69,0
426,9781538711330,The Family Lawyer,0,James Patterson,3.68,mystery,Hachette,Paperback,473,September,2017,1.0,1,17,1
427,9780385541091,The First Major: The Inside Story of the 2016 Ryder Cup,0,John Feinstein,4.29,sports-and-games,Penguin Random House,Hardcover,320,October,2017,1.0,1,55,0
428,9780062664419,The Force,0,Don Winslow,4.1,fiction,Harper Collins,Hardcover,496,June,2017,1.0,1,9,0
429,9780545945226,The Forgetting,1,Sharon Cameron,3.95,young-adult,"Scholastic, Inc.",ebook,416,September,2016,1.0,0,14,0
430,9781524760915,"The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better, Too)",0,Gretchen Rubin,3.85,non-fiction,Harmony ,Hardcover,257,September,2017,1.0,0,139,0
431,9780345549228,The Frozen Hours: A Novel of the Korean War,0,Jeff Shaara,4.38,historical,Penguin Random House,Hardcover,527,May,2017,1.0,1,43,0
432,9780316407113,The Games,1,James Patterson,3.97,mystery,Hachette,Hardcover,366,June,2016,1.0,1,9,1
433,9781476733500,The Gene: An Intimate History,0,Siddhartha Mukherjee,4.37,science,Simon & Schuster,Hardcover,592,May,2016,1.0,1,29,0
434,9780062382801,The Gentleman's Guide to Vice and Virtue,1,Mackenzi Lee,4.14,historical,Harper Collins,Hardcover,513,June,2017,1.0,1,40,0
435,9780425285046,The Girl Before,0,J.P. Delaney,3.69,thriller,Penguin Random House,Hardcover,341,January,2017,1.0,1,15,0
436,9781594633669,The Girl on the Train,0,Paula Hawkins,3.91,fiction,Riverhead Books ,Hardcover,336,April,2019,1.0,0,21,1
437,9780062388186,The Girl with the Make-Believe Husband,1,Julia Quinn,3.86,romance,Harper Collins,ebook,384,May,2017,1.0,1,38,0
438,9780399592805,The Golden House,0,Salman Rushdie,3.66,fiction,Penguin Random House,Hardcover,380,September,2017,1.0,1,16,0
439,9780451475237,The Guests on South Battery,1,Karen   White,4.1,mystery,Penguin Random House,Hardcover,352,January,2017,1.0,1,27,0
440,9781484746943,The Hidden Oracle,1,Rick Riordan,4.27,fantasy,Hachette,,320,May,2016,1.0,1,17,1
441,9781101871379,The House of Unexpected Sisters,1,Alexander McCall Smith,4.15,mystery,Pantheon Books,Hardcover,227,November,2017,1.0,0,31,0
442,9781250127761,The How Not to Die Cookbook: 100+ Recipes to Help Prevent and Reverse Disease,0,Michael Greger,4.14,food-and-drink,Macmillan,Hardcover,272,December,2017,1.0,1,77,0
443,9780316375191,The Identicals,0,Elin Hilderbrand,3.88,fiction,Hachette,Hardcover,432,June,2017,1.0,1,14,0
444,9780385350662,The Invention of Nature: Alexander von Humboldt's New World,0,Andrea Wulf,4.33,non-fiction,Penguin Random House,Hardcover,473,September,2015,1.0,1,59,0
445,9781524762230,The Keto Reset Diet: Reboot Your Metabolism in 21 Days and Burn Fat Forever,0,Mark Sisson,3.95,health,Harmony,Hardcover,352,October,2017,1.0,0,75,0
446,9781250107527,The Kim Kardashian Principle: Why Shameless Sells (and How to Do It Right),0,Jeetendr Sehdev,4.01,non-fiction,Macmillan,Hardcover,256,March,2017,1.0,1,74,0
447,9780316201575,The Wishing Spell,1,Chris Colfer,4.22,fantasy,Hachette,Hardcover,438,July,2012,1.0,1,17,0
448,9780062398949,The Last of August,1,Brittany Cavallaro,3.61,mystery,Harper Collins,Hardcover,317,February,2017,1.0,1,18,0
449,9780316225984,The Late Show,1,Michael Connelly,4.05,mystery,Hachette,Hardcover,405,July,2017,1.0,1,13,0
450,9780062438898,The Legend of Rock Paper Scissors,0,Drew Daywalt,4.3,childrens,Harper Collins,Hardcover,46,April,2017,1.0,1,33,0
451,9780756686062,The LEGO® Ideas Book,0,Daniel Lipkowitz,4.26,non-fiction,DK Publishing,Hardcover,200,September,2011,1.0,0,20,0
452,9780062658807,The Little Book of Hygge: Danish Secrets to Happy Living,0,Meik Wiking,3.73,non-fiction,Harper Collins,Hardcover,225,January,2017,1.0,1,56,0
453,9780553418774,The Little Paris Bookshop,0,Nina George,3.5,fiction,Penguin Random House,Hardcover,392,June,2015,1.0,1,25,0
454,9781939457592,The Lose Your Belly Diet,0,Travis Stork,3.67,health,Ghost Mountain Books,Hardcover,256,December,2016,1.0,0,24,0
455,9781250056252,The Lost Order,1,Steve Berry,4.08,thriller,Macmillan,Hardcover,493,April,2017,1.0,1,14,0
456,9781501150661,The Maddie Diaries: A Memoir,0,Maddie Ziegler,4.08,non-fiction,Simon & Schuster,Hardcover,221,March,2017,1.0,1,28,0
457,9780316504836,The Medical Examiner,1,James Patterson,3.77,mystery,Bookshots,ebook,144,August,2017,1.0,0,20,1
458,9780399170720,The Mermaid,0,Jan Brett,3.62,childrens,Penguin Random House,Hardcover,32,August,2017,1.0,1,11,0
459,9781453238509,The Miracle of Dunkirk: The True Story of Operation Dynamo,0,Walter Lord,3.96,history,Open Road Media ,ebook,330,March,2012,1.0,0,58,0
460,9781478971634,The Moores Are Missing,0,James Patterson,3.65,mystery,Hachette,Mass Market Paperback,496,July,2017,1.0,1,22,1
461,9780316468978,The Most Beautiful: My Life with Prince,0,Mayte Garcia,4.08,non-fiction,Hachette,Hardcover,304,April,2017,1.0,1,39,0
462,9780062414212,The Nest,0,Cynthia D'Aprix Sweeney,3.42,fiction,Harper Collins,Hardcover,368,March,2016,1.0,1,8,0
463,9781627795951,The North Water,0,Ian McGuire,4.0,historical,Henry Holt and Co. ,ebook,222,March,2016,1.0,0,15,0
464,9780399175169,The Obsession,0,Nora Roberts,4.2,romance,Penguin Random House,Hardcover,453,April,2016,1.0,1,13,1
465,9780061992254,The One and Only Ivan,0,Katherine Applegate,4.27,childrens,Harper Collins,Hardcover,307,January,2012,1.0,1,21,0
466,9781451659160,The Oregon Trail: A New American Journey,0,Rinker Buck,3.81,non-fiction,Simon & Schuster,Hardcover,451,June,2015,1.0,1,40,0
467,9780778319818,The Orphan's Tale,0,Pam Jenoff,4.02,historical,Mira Books,Paperback,353,February,2017,1.0,0,17,0
468,9780062083517,The Painted Queen,1,Elizabeth Peters,3.59,mystery,Harper Collins,Hardcover,325,July,2017,1.0,1,17,0
469,9780399593802,The Paris Spy,1,Susan Elia MacNeal,4.04,mystery,Bantam ,Hardcover,301,August,2017,1.0,0,13,0
470,9780345544803,The Perfect Horse: the Daring U.S. Mission to Rescue the Priceless Stallions Kidnapped by the Nazis,0,Elizabeth Letts,4.06,non-fiction,Penguin Random House,Hardcover,400,August,2016,1.0,1,99,0
471,9781610396868,"The Phenomenon: Pressure, the Yips, and the Pitch that Changed My Life",0,Rick Ankiel,3.92,sports-and-games,PublicAffairs,Hardcover,304,April,2017,1.0,0,70,0
472,9780735220775,The Pigeon Tunnel: Stories from My Life,0,John le Carré,4.04,non-fiction,Penguin Random House,Hardcover,320,September,2016,1.0,1,39,0
473,9781577314806,The Power of Now: A Guide to Spiritual Enlightenment,0,Eckhart Tolle,4.13,self-help,New World Library ,Paperback,229,August,2004,1.0,0,52,0
474,9780399176159,The Prisoner,1,Alex Berenson,4.2,thriller,Penguin Random House,Hardcover,420,January,2017,1.0,1,12,0
475,9780553523225,The Purloining of Prince Oleomargarine,0,Mark Twain,4.12,fantasy,Penguin Random House,Hardcover,152,September,2017,1.0,1,38,0
476,9780062568243,Thick as Thieves,1,Megan Whalen Turner,4.18,fantasy,Greenwillow Books,Hardcover,337,May,2017,1.0,0,16,0
477,9780062454942,"The Rainbow Comes and Goes: A Mother and Son On Life, Love, and Loss",0,Anderson Cooper,3.84,non-fiction,Harper Collins,Hardcover,290,April,2016,1.0,1,68,0
478,9780062409164,The Rise and Fall of D.O.D.O.,0,Neal Stephenson,3.87,science-fiction,Harper Collins,Hardcover,752,June,2017,1.0,1,29,0
479,9780812993257,The Road to Character,0,David  Brooks,3.66,non-fiction,Penguin Random House,Hardcover,320,April,2015,1.0,1,21,0
480,9780399575549,The Romanov Ransom,1,Clive Cussler,4.08,adventure,Penguin Random House,Hardcover,388,September,2017,1.0,1,18,0
481,9780812996937,The Rules Do Not Apply,0,Ariel Levy,3.74,autobiography,Penguin Random House,Hardcover,207,March,2017,1.0,1,22,0
482,9780316389556,The Secret Keepers,0,Trenton Lee Stewart,4.05,childrens,Megan Tingley Books,Hardcover,503,September,2016,1.0,0,18,0
483,9781455596751,The Secrets of My Life,0,Caitlyn Jenner,3.19,non-fiction,Hachette,Hardcover,336,April,2017,1.0,1,22,0
484,9781250083258,The Sellout,0,Paul Beatty,3.77,fiction,Picador ,Paperback,289,March,2016,1.0,0,11,0
485,9780964729230,The Shack,0,William Paul Young,3.76,fiction,Windblown Media ,Paperback,252,July,2007,1.0,0,9,0
486,9780385538916,The Sleepwalker,1,Chris Bohjalian,3.66,fiction,Penguin Random House,Hardcover,304,January,2017,1.0,1,15,0
487,9780062468161,"The Smear: How the Secret Art of Character Assassination Controls What You Think, What You Read, and How You Vote",0,Sharyl Attkisson,4.27,politics,Harper Collins,Hardcover,294,May,2017,1.0,1,113,0
488,9780307595867,The Snowman,1,Jo Nesbø,4.01,mystery,Penguin Random House,Mass Market Paperback,383,May,2011,1.0,1,11,0
489,9781592409006,"The Spy Who Couldn't Spell: A Dyslexic Traitor, an Unbreakable Code, and the FBI's Hunt for America's Stolen Secrets",0,Yudhijit Bhattacharjee,3.79,non-fiction,NEW AMERICAN LIBRARY ,Hardcover,400,November,2016,1.0,0,116,0
490,9780385350907,The Stars Are Fire,0,Anita Shreve,3.85,historical,Penguin Random House,Hardcover,256,April,2017,1.0,1,18,0
491,9780062322586,The State of Affairs: Rethinking Infidelity,0,Esther Perel,4.33,non-fiction,Harper Collins,Hardcover,336,October,2017,1.0,1,43,0
492,9781616203214,The Storied Life of A.J. Fikry,0,Gabrielle Zevin,3.99,fiction,Algonquin Books,Hardcover,260,April,2014,1.0,0,30,0
493,9781610397216,The Storm Before the Storm: The Beginning of the End of the Roman Republic,0,Mike Duncan,4.22,history,PublicAffairs,Hardcover,327,October,2017,1.0,0,74,0
494,9781250150189,The Swamp: Washington's Murky Pool of Corruption and Cronyism and How Trump Can Drain It,0,Eric Bolling,4.07,politics,Macmillan,Hardcover,240,June,2017,1.0,1,88,0
495,9780802124944,The Sympathizer,0,Viet Thanh Nguyen,4.0,fiction,Grove Press ,Paperback,384,April,2016,1.0,0,15,0
496,9780525428305,The Templars: The Rise and Spectacular Fall of God's Holy Warriors,0,Dan Jones,3.87,history,Penguin Random House,Hardcover,448,September,2017,1.0,1,66,0
497,9780385352161,The Thirst,1,Jo Nesbø,4.19,mystery,Penguin Random House,Hardcover,467,May,2017,1.0,1,10,0
498,9781621576372,The True Jesus: Uncovering the Divinity of Christ in the Gospels,0,David Limbaugh,4.18,non-fiction,Regnery Publishing,Hardcover,454,April,2017,1.0,0,64,0
499,9781501163807,"The Truth About Your Future: The Money Guide You Need Now, Later, and Much Later",0,Ric Edelman,3.74,non-fiction,Simon & Schuster,Hardcover,400,March,2017,1.0,1,80,0
500,9781627791168,The Unbreakable Code,1,Jennifer Chambliss Bertman,4.25,mystery,Henry Holt and Co. ,Hardcover,353,April,2017,1.0,0,20,0
501,9781250114402,The Vanishing American Adult: Our Coming-Of-Age Crisis--And How to Rebuild a Culture of Self-Reliance,0,Ben Sasse,4.01,non-fiction,Macmillan,Hardcover,320,May,2017,1.0,1,101,0
502,9780307700254,The Vietnam War: An Intimate History,0,Geoffrey C. Ward,4.51,history,Penguin Random House,Hardcover,612,September,2017,1.0,1,36,0
503,9781632154569,"The Walking Dead, Compendium 3",1,Robert Kirkman,4.61,sequential-art,Image Comics,Paperback,1088,October,2015,1.0,0,30,0
504,9781616204860,The Walls Around Us,0,Nova Ren Suma,3.73,young-adult,Algonquin Young Readers,ebook,336,March,2015,1.0,0,19,0
505,9780803740815,The War That Saved My Life,1,Kimberly Brubaker Bradley,4.5,historical,Dial Books,Hardcover,316,January,2015,1.0,0,26,0
506,9780544824386,The Way Things Work Now,0,David Macaulay,4.59,non-fiction,HMH Books for Young Readers,Hardcover,400,October,2016,1.0,0,23,0
507,9780525426950,The Western Star,1,Craig Johnson,4.27,mystery,Penguin Random House,Hardcover,295,September,2017,1.0,1,16,0
508,9780385541190,The Whistler,1,John Grisham,3.85,fiction,Penguin Random House,Hardcover,374,October,2016,1.0,1,12,1
509,9781476728742,The Wright Brothers,0,David McCullough,4.14,history,Simon & Schuster,Hardcover,320,May,2015,1.0,1,19,0
510,9780316225946,The Wrong Side of Goodbye,1,Michael Connelly,4.34,mystery,Hachette,Hardcover,388,November,2016,1.0,1,25,0
511,9780393333060,The Zookeeper's Wife,0,Diane Ackerman,3.46,non-fiction,W. W. NortonCompany ,Paperback,384,September,2008,1.0,0,20,0
512,9780062457790,They Both Die at the End,0,Adam Silvera,4.14,young-adult,Harper Collins,Hardcover,373,September,2017,1.0,1,24,0
513,9781595141712,Thirteen Reasons Why,0,Jay Asher,3.95,young-adult,Razorbill,Hardcover,288,October,2007,1.0,0,20,0
514,9781250120618,This Fight Is Our Fight : the battle to save America's middle class,0,Elizabeth Warren,4.22,politics,Metropolitan Books,Hardcover,352,April,2017,1.0,0,67,0
515,9780062569035,Three Days in January: Dwight Eisenhower's Final Mission,0,Bret Baier,4.08,history,Harper Collins,Hardcover,368,January,2017,1.0,1,56,0
516,9781421580449,"Tokyo Ghoul, Vol. 9",1,Sui Ishida,4.38,sequential-art,VIZ Media LLC ,Paperback,200,October,2016,1.0,0,19,0
517,9781421590561,Tomie,1,Junji Ito,4.12,sequential-art,VIZ Media,Hardcover,752,December,2016,1.0,0,5,0
518,9781328683786,Tools of Titans,0,Timothy Ferriss,4.18,business,Houghton Mifflin Harcourt,Hardcover,673,December,2016,1.0,0,15,0
519,9781510720831,Touch the Earth,1,Julian Lennon,3.84,childrens,Sky Pony,Hardcover,40,April,2017,1.0,0,15,0
520,9780345542960,Tricky Twenty-Two,1,Janet Evanovich,3.94,mystery,Bantam,Hardcover,282,November,2015,1.0,0,17,0
521,9780062419002,Troublemaker,1,Linda Howard,3.79,romance,Harper Collins,ebook,400,May,2016,1.0,1,12,0
522,9781250069795,Truly Madly Guilty,0,Liane Moriarty,3.57,fiction,Macmillan,Hardcover,415,July,2016,1.0,1,18,0
523,9781478976677,Trump's War: His Battle for America,0,Michael Savage,3.92,politics,Center Street,Hardcover,288,March,2017,1.0,0,35,0
524,9780345543004,Turbo Twenty-Three,1,Janet Evanovich,3.8,mystery,Bantam,Hardcover,288,November,2016,1.0,0,18,0
525,9781250163301,Twin Peaks: The Final Dossier,1,Mark Frost,3.88,fiction,Macmillan,Hardcover,145,October,2017,1.0,1,29,0
526,9780399575570,Typhoon Fury,1,Clive Cussler,4.27,fiction,Penguin Random House,Hardcover,436,November,2017,1.0,1,12,0
527,9780062684929,Unbelievable: My Front-Row Seat to the Craziest Campaign in American History,0,Katy Tur,3.96,non-fiction,Harper Collins,Hardcover,291,September,2017,1.0,1,76,0
528,9781478923084,Understanding Trump,0,Newt Gingrich,4.08,politics,Center Street,Hardcover,368,June,2017,1.0,0,19,0
529,9780374282103,Universal Harvester,0,John Darnielle,3.24,fiction,Macmillan,Hardcover,214,February,2017,1.0,1,19,0
531,9781501164583,Unshakeable,0,Tony Robbins,4.13,economics,Simon & Schuster,Hardcover,256,February,2017,1.0,1,11,0
532,9780399176616,Vicious Circle,1,C.J. Box,4.26,mystery,Penguin Random House,Hardcover,369,March,2017,1.0,1,14,0
533,9780062664570,"Wait, What?: And Life's Other Essential Questions",0,James E. Ryan,3.95,non-fiction,Harper Collins,Hardcover,144,April,2017,1.0,1,49,0
534,9780062135278,War Hawk,1,James Rollins,4.18,thriller,Harper Collins,Hardcover,368,April,2016,1.0,1,8,0
535,9780812989465,Watch Me Disappear,0,Janelle Brown,3.71,mystery,Spiegel & Grau,Hardcover,358,July,2017,1.0,0,18,0
536,9781484715765,Wayfarer,1,Alexandra Bracken,3.85,fantasy,Hachette,Hardcover,532,January,2017,1.0,1,8,0
537,9781101912195,We Are Never Meeting In Real Life,0,Samantha Irby,3.93,non-fiction,Vintage,Paperback,288,May,2017,1.0,0,33,0
538,9780691157245,Welcome to the Universe: An Astrophysical Tour,0,Neil deGrasse Tyson,4.27,science,Princeton University Press,Hardcover,480,September,2016,1.0,0,46,0
539,9780062468130,What Does This Button Do?: An Autobiography,0,Bruce Dickinson,4.02,music,Harper Collins,Hardcover,384,October,2017,1.0,1,43,0
540,9780062194268,"What Is the Bible?: How an Ancient Library of Poems, Letters, and Stories Can Transform the Way You Think and Feel About Everything",0,Rob Bell,4.33,non-fiction,Harper Collins,Hardcover,322,May,2017,1.0,1,131,0
541,9780316356541,What Made Maddy Run: The Secret Struggles and Tragic Death of an All-American Teen,0,Kate Fagan,4.17,non-fiction,Hachette,Hardcover,320,August,2017,1.0,1,82,0
542,9781616207823,What Unites Us: Reflections on Patriotism,0,Dan Rather,4.29,non-fiction,Algonquin Books,Hardcover,274,November,2017,1.0,0,41,0
543,9780062319296,Where the Past Begins: A Writer's Memoir,0,Amy Tan,3.48,autobiography,Harper Collins,Hardcover,368,October,2017,1.0,1,40,0
544,9780670785971,White Trash: The 400-Year Untold History of Class in America,0,Nancy Isenberg,3.74,history,Penguin Random House,Hardcover,460,June,2016,1.0,1,60,0
545,9780804138147,Why Not Me?,0,Mindy Kaling,3.9,non-fiction,Penguin Random House,Hardcover,228,September,2015,1.0,1,11,0
547,9780062289285,Wildfire,1,Ilona Andrews,4.59,fantasy,Harper Collins,ebook,400,July,2017,1.0,1,8,0
548,9780735219724,Win Bigly: Persuasion in a World Where Facts Don't Matter,0,Scott Adams,3.76,politics,Portfolio,eBook Kindle,298,October,2017,1.0,0,57,0
549,9780451498564,Wired to Eat: Transform Your Appetite and Personalize Your Diet for Rapid Weight Loss and Amazing Health,0,Robb Wolf,4.0,health,Harmony,Hardcover,288,March,2017,1.0,0,104,0
550,9781496406163,Without Warning,1,Joel C. Rosenberg,4.43,fiction,Tyndale House Publishers,Hardcover,453,March,2017,1.0,0,15,0
551,9780316349567,Word of Mouse,0,James Patterson,4.08,childrens,Hachette,Hardcover,304,December,2016,1.0,1,13,1
552,9780062440136,"Writer, Sailor, Soldier, Spy: Ernest Hemingway's Secret Adventures, 1935-1961",0,Nicholas Reynolds,3.66,biography,Harper Collins,Hardcover,384,March,2017,1.0,1,77,0
553,9780399564451,Written Out of History: The Forgotten Founders Who Fought Big Government,0,Mike  Lee,4.11,history,Sentinel ,Hardcover,256,May,2017,1.0,0,72,0
554,9780373803729,Wyoming Winter,1,Diana Palmer,3.95,romance,Hqn,Mass Market Paperback,416,October,2017,1.0,0,14,0
555,9781250111302,You Don't Look Your Age: And Other Fairy Tales,0,Sheila Nevins,3.36,non-fiction,Macmillan,Hardcover,255,May,2017,1.0,1,46,0
556,9781488028441,You Say It First,1,Susan   Mallery,3.78,romance,Harper Collins,ebook,384,August,2017,1.0,1,16,0
558,9781408857908,A Court of Wings and Ruin,1,Sarah J. Maas,4.49,fantasy,Bloomsbury Childrens Books,Paperback,699,May,2017,0.0,0,25,0
559,9780062498533,The Hate U Give,0,Angie Thomas,4.52,young-adult,Harper Collins,Hardcover,444,February,2017,0.0,1,15,0
560,9780735220683,Eleanor Oliphant Is Completely Fine,0,Gail Honeyman,4.31,fiction,Penguin Random House,Hardcover,327,May,2017,0.0,1,35,0
561,9780765387462,A Conjuring of Light,1,V.E. Schwab,4.37,fantasy,Macmillan,Hardcover,624,February,2017,0.0,1,20,0
562,9781250095251,Caraval,1,Stephanie Garber,3.95,fantasy,Macmillan,Hardcover,407,January,2017,0.0,1,7,0
563,9781442468405,Lord of Shadows,1,Cassandra Clare,4.52,fantasy,Margaret K. McElderry Books,Hardcover,701,May,2017,0.0,0,15,0
564,9781681195773,Tower of Dawn,1,Sarah J. Maas,4.41,fantasy,Bloomsbury USA Childrens,Hardcover,664,September,2017,0.0,0,13,0
565,9781101885932,The Bear and the Nightingale,1,Katherine Arden,4.12,fantasy,Del Rey Books,Hardcover,323,January,2017,0.0,0,28,0
566,9780316341684,Strange the Dreamer,1,Laini Taylor,4.34,fantasy,Hachette,Hardcover,536,March,2017,0.0,1,19,0
567,9780393356182,Norse Mythology,0,Neil Gaiman,4.09,fantasy,W. W. Norton & Company ,Paperback,301,March,2018,0.0,0,15,0
568,9780062310712,King's Cage,1,Victoria Aveyard,4.01,fantasy,Harper Collins,ebook,544,February,2017,0.0,1,11,0
569,9780525555360,Turtles All the Way Down,0,John Green,3.98,young-adult,Dutton Books for Young Readers,Hardcover,288,October,2017,0.0,0,24,0
570,9780735224292,Little Fires Everywhere,0,Celeste Ng,4.11,fiction,Penguin Random House,Hardcover,338,September,2017,0.0,1,23,0
571,9781484746424,The Dark Prophecy,1,Rick Riordan,4.25,fantasy,Hachette,Hardcover,401,May,2017,0.0,1,17,1
572,9781501139239,The Seven Husbands of Evelyn Hugo,0,Taylor Jenkins Reid,4.32,historical,Simon & Schuster,Hardcover,391,June,2017,0.0,1,33,0
573,9780812995343,Lincoln in the Bardo,0,George Saunders,3.77,fiction,Penguin Random House,Hardcover,343,February,2017,0.0,1,20,0
574,9780735211209,Into the Water,0,Paula Hawkins,3.56,mystery,Riverhead Books,Hardcover,386,May,2017,0.0,0,14,1
575,9780062348630,Carve the Mark,1,Veronica Roth,3.78,young-adult,Harper Collins,Hardcover,468,January,2017,0.0,1,14,0
576,9781407177663,"Always and Forever, Lara Jean",1,Jenny Han,4.15,young-adult,Scholastic ,Paperback,325,May,2017,0.0,0,29,0
577,9780399547966,Warcross,1,Marie Lu,4.18,young-adult,G.P. Putnam’s Sons Books for Young Readers,Hardcover,353,September,2017,0.0,0,8,0
578,9780062289254,White Hot,1,Ilona Andrews,4.55,fantasy,Harper Collins,Mass Market Paperback,389,May,2017,0.0,1,9,0
579,9781616956936,History Is All You Left Me,0,Adam Silvera,4.07,young-adult,Soho Teen,ebook,320,January,2017,0.0,0,26,0
580,9781503943377,Beneath a Scarlet Sky,0,Mark T. Sullivan,4.42,historical,Lake Union Publishing,Paperback,513,May,2017,0.0,0,21,0
581,9780385534253,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,0,David Grann,4.09,non-fiction,Penguin Random House,ebook,359,April,2017,0.0,1,70,0
582,9780425284681,Before We Were Yours,0,Lisa Wingate,4.37,historical,Penguin Random House,Hardcover,342,June,2017,0.0,1,20,0
583,9780399171635,Flame in the Mist,1,Renée Ahdieh,3.91,fantasy,Penguin Random House,Hardcover,392,May,2017,0.0,1,17,0
